소재지전체주소 상호명,동
서울특별시 종로구 326번지 이화장여관,숭인동
서울특별시 종로구 45-19,무악동
서울특별시 종로구 98-20 로얄창덕궁빌딩 702호,운니동
서울특별시 종로구 582-29,창신동
서울특별시 종로구 209-69 대신빌딩 1층,행촌동
서울특별시 종로구 18-3,관철동
서울특별시 종로구 Jan-46,돈의동
서울특별시 종로구 12-15번지 (3층),관철동
서울특별시 종로구 171번지 (지상1층),당주동
서울특별시 종로구 138-89번지 지하1층,창신동
서울특별시 종로구 17번지 (지상2층),공평동
서울특별시 종로구 Jan-42 신화빌딩,종로5가
"서울특별시 종로구 176 1,2층",창신동
서울특별시 종로구 197,내자동
서울특별시 종로구 581-21,창신동
서울특별시 종로구 72-86,숭인동
서울특별시 종로구 302-5,창신동
서울특별시 종로구 438-14번지,창신동
서울특별시 종로구 1263 수도회화전문확원,숭인동
서울특별시 종로구 583-95번지,창신동
서울특별시 종로구 249번지,종로5가
"서울특별시 종로구 07-04 1, 2층",관철동
서울특별시 종로구 21-2번지,관수동
서울특별시 종로구 165-5번지,청진동
서울특별시 종로구 27-1 1층,종로5가
서울특별시 종로구 406-1 2층,창신동
서울특별시 종로구 Jan-89,혜화동
서울특별시 종로구 398-16번지,종로5가
서울특별시 종로구 35-97번지,통의동
서울특별시 종로구 433-1번지,창신동
서울특별시 종로구 1-215번지,명륜3가
서울특별시 종로구 10-2번지,관철동
서울특별시 종로구 217-1번지,사직동
서울특별시 종로구 195-11번지 지상1층,명륜2가
서울특별시 종로구 143-9번지 2층,명륜2가
서울특별시 종로구 170-0번지,돈의동
서울특별시 종로구 6번지,종로3가
서울특별시 종로구 19-20번지,관철동
서울특별시 종로구 39-0번지,명륜2가
서울특별시 종로구 60번지 지하1층 43호,도렴동
서울특별시 종로구 217-1번지,창신동
서울특별시 종로구 217-9번지,숭인동
서울특별시 종로구 115-4번지,도렴동
서울특별시 종로구 7-17번지,관철동
서울특별시 종로구 583-6번지,창신동
서울특별시 종로구 194번지 덕우빌딩,낙원동
서울특별시 종로구 136번지,혜화동
서울특별시 종로구 1-48번지,동숭동
서울특별시 종로구 1-96번지,동숭동
서울특별시 종로구 12-15번지,교북동
서울특별시 종로구 202-3번지 지상1층,숭인동
서울특별시 종로구 6번지,종로3가
서울특별시 종로구 185-5번지,부암동
서울특별시 종로구 152-2번지,돈의동
서울특별시 종로구 24-4번지,명륜2가
서울특별시 종로구 65-22번지,숭인동
서울특별시 종로구 97번지,적선동
서울특별시 종로구 176번지,명륜2가
서울특별시 종로구 1262번지,숭인동
서울특별시 종로구 46-1번지 지상1층,홍지동
서울특별시 종로구 37번지,삼청동
서울특별시 종로구 239-1번지,신영동
서울특별시 종로구 202번지,명륜2가
서울특별시 종로구 191번지,숭인동
서울특별시 종로구 5-0 지하1층,당주동
서울특별시 종로구 81-8번지,창신동
서울특별시 종로구 19-11,관철동
서울특별시 종로구 11-1번지,내자동
서울특별시 종로구 100번지 지하 105호,당주동
서울특별시 종로구 75-1번지,종로5가
서울특별시 종로구 1-1번지,청진동
서울특별시 종로구 206-0번지,필운동
서울특별시 종로구 11-18,관철동
서울특별시 종로구 181 지하1층,명륜2가
서울특별시 종로구 205-3번지,종로6가
서울특별시 종로구 8-1번지,명륜4가
서울특별시 종로구 137-11번지,통인동
서울특별시 종로구 31-0번지,신문로1가
서울특별시 종로구 45-8번지,관철동
서울특별시 종로구 50번지 지상1층,돈의동
서울특별시 종로구 313-16번지,숭인동
서울특별시 종로구 45-8번지,관철동
서울특별시 종로구 691-0번지,창신동
서울특별시 종로구 635-8번지,창신동
서울특별시 종로구 127-22번지,홍지동
서울특별시 종로구 108번지 1층,필운동
서울특별시 종로구 108-4번지 1,필운동
서울특별시 종로구 Apr-88 2층,종로5가
서울특별시 종로구 68-102번지 동의빌딩,돈의동
서울특별시 종로구 385 지하1층,부암동
서울특별시 종로구 46-1번지,홍지동
서울특별시 종로구 19-12 1~2층,관철동
서울특별시 종로구 18번지,공평동
서울특별시 종로구 1-55번지,동숭동
서울특별시 종로구 70-3번지,명륜4가
서울특별시 종로구 635-8번지 지상1층,창신동
"서울특별시 종로구 72번지 경희궁의아침3단지 167,168호",내수동
서울특별시 종로구 66-72번지 안성빌딩 103호,평창동
서울특별시 종로구 66-3번지 지상2층,숭인동
서울특별시 종로구 130-66번지,창신동
서울특별시 종로구 84-2번지,돈의동
서울특별시 종로구 1-48번지 지하1층,동숭동
서울특별시 종로구 186-2번지,명륜2가
서울특별시 종로구 192번지 지상1층,숭인동
서울특별시 종로구 265번지 지상3층,창신동
서울특별시 종로구 14-7번지 지상1층,관철동
서울특별시 종로구 177번지,명륜2가
서울특별시 종로구 582-17번지 지상1층,창신동
서울특별시 종로구 1-91번지,동숭동
서울특별시 종로구 121-6번지 지하1층,종로5가
서울특별시 종로구 205-3번지,종로6가
서울특별시 종로구 165번지,효제동
서울특별시 종로구 57번지,익선동
서울특별시 종로구 67-2번지,무악동
서울특별시 종로구 6-5번지,관철동
서울특별시 종로구 46-915번지,무악동
서울특별시 종로구 583-30번지 지상1층,창신동
서울특별시 종로구 53번지,명륜3가
서울특별시 종로구 217-19번지 지상2층,숭인동
서울특별시 종로구 214-6번지,종로5가
"서울특별시 종로구 166-3번지 지상1,2층",혜화동
서울특별시 종로구 24번지 지하1층 B118-3호,종로1가
서울특별시 종로구 94번지 지상1층,돈의동
"서울특별시 종로구 73 경희궁의아침4단지 B133,B134",내수동
서울특별시 종로구 249-1번지 2층,효제동
서울특별시 종로구 46-1번지 1층,인의동
서울특별시 종로구 123 1층,효제동
서울특별시 종로구 218 1층,숭인동
서울특별시 종로구 46-41 1층,통인동
서울특별시 종로구 5번지 지하1층,당주동
서울특별시 종로구 85,연지동
서울특별시 종로구 Mar-45 1층,종로5가
서울특별시 종로구 208-39번지 1층,부암동
서울특별시 종로구 201번지 (지하1층),묘동
서울특별시 종로구 84-3번지 (지상1층),창신동
서울특별시 종로구 37번지 지상1층,옥인동
서울특별시 종로구 74 광화문시대(102-1호),내수동
서울특별시 종로구 74-38번지,혜화동
서울특별시 종로구 633-6번지 (지하1층),창신동
서울특별시 종로구 12-5번지,관철동
서울특별시 종로구 20-40번지 (지상1층),창신동
서울특별시 종로구 150-1번지,도렴동
서울특별시 종로구 2-37번지,명륜3가
서울특별시 종로구 436-73번지 지하1층,창신동
서울특별시 종로구 440-6번지,창신동
서울특별시 종로구 766번지 청계힐스테이트 단지내상가 나동,숭인동
서울특별시 종로구 98번지,종로5가
서울특별시 종로구 27번지,교남동
서울특별시 종로구 160번지 지하1층 6호,당주동
서울특별시 종로구 58번지 두산위브파빌리온 142호,수송동
서울특별시 종로구 1-37번지 4층,동숭동
서울특별시 종로구 95 파크팰리스상가 105호,내수동
서울특별시 종로구 583-19번지 지상1층,창신동
